k,n,n_wave
3,1579,578
3,1580,578
3,1581,578
3,1582,759
3,1583,759
3,1584,759
3,1585,471
3,1586,578
3,1587,578
3,1588,759
3,1589,759
3,1590,471
3,1591,578
3,1592,554
3,1593,759
3,1594,554
3,1595,759
3,1596,759
3,1597,759
3,1598,471
3,1599,759
3,1600,419
3,1601,578
3,1602,759
3,1603,759
3,1604,578
3,1605,554
3,1606,554
3,1607,578
3,1608,759
3,1609,759
3,1610,759
3,1611,759
3,1612,759
3,1613,578
3,1614,554
3,1615,759
3,1616,759
3,1617,759
3,1618,471
3,1619,759
3,1620,759
3,1621,759
3,1622,578
3,1623,759
3,1624,759
3,1625,759
3,1626,578
3,1627,759
3,1628,759
3,1629,554
3,1630,759
3,1631,759
3,1632,759
3,1633,759
3,1634,759
3,1635,554
3,1636,759
3,1637,759
3,1638,759
3,1639,417
3,1640,759
3,1641,759
3,1642,578
3,1643,759
3,1644,759
3,1645,419
3,1646,578
3,1647,417
3,1648,578
3,1649,419
3,1650,578
3,1651,578
3,1652,554
3,1653,554
3,1654,759
3,1655,759
3,1656,578
3,1657,578
3,1658,578
3,1659,759
3,1660,759
3,1661,578
3,1662,759
3,1663,578
3,1664,759
3,1665,759
3,1666,759
3,1667,578
3,1668,759
3,1669,471
3,1670,759
3,1671,759
3,1672,578
3,1673,578
3,1674,759
3,1675,554
3,1676,759
3,1677,759
3,1678,759
3,1679,759
3,1680,578
3,1681,578
3,1682,759
3,1683,578
3,1684,759
3,1685,759
3,1686,554
3,1687,554
3,1688,759
3,1689,759
3,1690,759
3,1691,578
3,1692,759
3,1693,578
3,1694,759
3,1695,578
3,1696,554
3,1697,578
3,1698,578
3,1699,417
3,1700,578
3,1701,578
3,1702,759
3,1703,759
3,1704,578
3,1705,554
3,1706,759
3,1707,759
3,1708,554
3,1709,759
3,1710,759
3,1711,554
3,1712,554
3,1713,759
3,1714,759
3,1715,578
3,1716,759
3,1717,759
3,1718,578
3,1719,578
3,1720,759
3,1721,759
3,1722,578
3,1723,759
3,1724,759
3,1725,759
3,1726,554
3,1727,759
3,1728,578
3,1729,759
3,1730,554
3,1731,759
3,1732,759
3,1733,759
3,1734,759
3,1735,578
3,1736,554
3,1737,759
3,1738,554
3,1739,554
3,1740,759
3,1741,759
3,1742,759
3,1743,759
3,1744,578
3,1745,759
3,1746,578
3,1747,578
3,1748,759
3,1749,578
3,1750,417
3,1751,759
3,1752,578
3,1753,759
3,1754,578
3,1755,759
3,1756,759
3,1757,759
3,1758,759
3,1759,759
3,1760,759
3,1761,759
3,1762,759
3,1763,759
3,1764,554
3,1765,471
3,1766,471
3,1767,578
3,1768,578
3,1769,759
3,1770,578
3,1771,759
3,1772,554
3,1773,759
3,1774,471
3,1775,578
3,1776,578
3,1777,578
3,1778,419
3,1779,759
3,1780,578
3,1781,578
3,1782,554
3,1783,759
3,1784,578
3,1785,759
3,1786,554
3,1787,759
3,1788,554
3,1789,759
3,1790,578
3,1791,578
3,1792,759
3,1793,759
3,1794,554
3,1795,578
3,1796,578
3,1797,759
3,1798,554
3,1799,471
3,1800,578
3,1801,759
3,1802,578
3,1803,759
3,1804,578
3,1805,759
3,1806,759
3,1807,759
3,1808,759
3,1809,417
3,1810,759
3,1811,759
3,1812,413
3,1813,554
3,1814,578
3,1815,759
3,1816,759
3,1817,759
3,1818,759
3,1819,578
3,1820,554
3,1821,759
3,1822,759
3,1823,759
3,1824,759
3,1825,578
3,1826,759
3,1827,419
3,1828,759
3,1829,759
3,1830,578
3,1831,759
3,1832,759
3,1833,759
3,1834,759
3,1835,578
3,1836,578
3,1837,554
3,1838,578
3,1839,759
3,1840,759
3,1841,578
3,1842,759
3,1843,578
3,1844,578
3,1845,759
3,1846,759
3,1847,554
3,1848,578
3,1849,578
3,1850,578
3,1851,578
3,1852,554
3,1853,554
3,1854,554
3,1855,759
3,1856,578
3,1857,578
3,1858,759
3,1859,578
3,1860,578
3,1861,578
3,1862,759
3,1863,759
3,1864,554
3,1865,554
3,1866,759
3,1867,759
3,1868,554
3,1869,759
3,1870,759
3,1871,578
3,1872,419
3,1873,759
3,1874,759
3,1875,759
3,1876,759
3,1877,759
3,1878,578
3,1879,759
3,1880,578
3,1881,578
3,1882,759
3,1883,578
3,1884,578
3,1885,578
3,1886,759
3,1887,759
3,1888,759
3,1889,759
3,1890,759
3,1891,419
3,1892,759
3,1893,759
3,1894,578
3,1895,759
3,1896,759
3,1897,759
3,1898,578
3,1899,759
3,1900,554
3,1901,759
