k,n,n_wave
10,1234,1504
10,1235,1504
10,1236,1504
10,1237,1504
10,1238,1504
10,1239,1504
10,1240,1504
10,1241,1504
10,1242,1504
10,1243,1504
10,1244,1504
10,1245,1504
10,1246,1504
10,1247,1504
10,1248,1504
10,1249,1504
10,1250,1504
10,1251,1504
10,1252,1504
10,1253,1504
10,1254,1504
10,1255,1504
10,1256,1504
10,1257,1504
10,1258,1504
10,1259,1504
10,1260,1504
10,1261,1504
10,1262,1504
10,1263,1504
10,1264,1504
10,1265,1504
10,1266,1504
10,1267,1504
10,1268,1504
10,1269,1504
10,1270,1504
10,1271,1504
10,1272,1504
10,1273,1504
10,1274,1504
10,1275,1504
10,1276,1504
10,1277,1504
10,1278,1504
10,1279,1504
10,1280,1504
10,1281,1504
10,1282,1504
10,1283,1504
10,1284,1504
10,1285,1504
10,1286,1504
10,1287,1504
10,1288,1504
10,1289,1504
10,1290,1504
10,1291,1504
10,1292,1504
10,1293,1504
10,1294,1504
10,1295,1504
10,1296,1504
10,1297,1504
10,1298,1504
10,1299,1504
10,1300,1504
10,1301,1504
10,1302,1504
10,1303,1504
10,1304,1504
10,1305,1504
10,1306,1504
10,1307,1504
10,1308,1504
10,1309,1504
10,1310,1504
10,1311,1504
10,1312,1504
10,1313,1504
10,1314,1504
10,1315,1504
10,1316,1504
10,1317,1504
10,1318,1504
10,1319,1504
10,1320,1504
10,1321,1504
10,1322,1504
10,1323,1504
10,1324,1504
10,1325,1504
10,1326,1504
10,1327,1504
10,1328,1504
10,1329,1504
10,1330,1504
10,1331,1504
10,1332,1504
10,1333,1504
10,1334,1504
10,1335,1504
10,1336,1504
10,1337,1504
10,1338,1504
10,1339,1504
10,1340,1504
10,1341,1504
10,1342,1504
10,1343,1504
10,1344,1504
10,1345,1504
10,1346,1504
10,1347,1504
10,1348,1504
10,1349,1504
10,1350,1504
10,1351,1504
10,1352,1504
10,1353,1504
10,1354,1504
10,1355,1504
10,1356,1504
10,1357,1504
10,1358,1504
10,1359,1504
10,1360,1504
10,1361,1504
10,1362,1504
10,1363,1504
10,1364,1504
10,1365,1504
10,1366,1504
10,1367,1504
10,1368,1504
10,1369,1504
10,1370,1504
10,1371,1504
10,1372,1504
10,1373,1504
10,1374,1504
10,1375,1504
10,1376,1504
10,1377,1504
10,1378,1504
10,1379,1504
10,1380,1504
10,1381,1504
10,1382,1504
10,1383,1504
10,1384,1504
10,1385,1504
10,1386,1504
10,1387,1504
10,1388,1504
10,1389,1504
10,1390,1504
10,1391,1504
10,1392,1504
10,1393,1504
10,1394,1504
10,1395,1504
10,1396,1504
10,1397,1504
10,1398,1504
10,1399,1504
10,1400,1504
10,1401,1504
10,1402,1504
10,1403,1504
10,1404,1504
10,1405,1504
10,1406,1504
10,1407,1504
10,1408,1504
10,1409,1504
10,1410,1504
10,1411,1504
10,1412,1504
10,1413,1504
10,1414,1504
10,1415,1504
10,1416,1504
10,1417,1504
10,1418,1504
10,1419,1504
10,1420,1504
10,1421,1504
10,1422,1504
10,1423,1504
10,1424,1504
10,1425,1504
10,1426,1504
10,1427,1504
10,1428,1504
10,1429,1504
10,1430,1504
10,1431,1504
10,1432,1504
10,1433,1504
10,1434,1504
10,1435,1504
10,1436,1504
10,1437,1504
10,1438,1504
10,1439,1504
10,1440,1504
10,1441,1504
10,1442,1504
10,1443,1504
10,1444,1504
10,1445,1504
10,1446,1504
10,1447,1504
10,1448,1504
10,1449,1504
10,1450,1504
10,1451,1504
10,1452,1504
10,1453,1504
10,1454,1504
10,1455,1504
10,1456,1504
10,1457,1504
10,1458,1504
10,1459,1504
10,1460,1504
10,1461,1504
